City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
201,Labuhan,ID,2021-10-03 15:58:26,-6.8844,112.2051,79.45,70,68,10.22
202,Loding,NO,2021-10-03 15:58:27,67.3,14.75,55.31,66,75,7.0
203,Farrukhnagar,IN,2021-10-03 15:58:27,17.0778,78.2011,76.71,74,90,3.56
204,Abalak,RU,2021-10-03 15:58:28,58.1286,68.5944,30.56,94,92,8.37
205,Lavrentiya,RU,2021-10-03 15:58:28,65.5833,-171.0,23.95,75,88,3.89
206,Maralal,KE,2021-10-03 15:58:28,1.0968,36.698,70.61,50,100,3.49
207,Vila Velha,BR,2021-10-03 15:57:13,-20.3297,-40.2925,84.15,61,75,18.41
208,Torbay,CA,2021-10-03 15:58:29,47.6666,-52.7314,63.48,70,75,4.61
209,Caravelas,BR,2021-10-03 15:58:29,-17.7125,-39.2481,84.24,60,2,13.44
210,Atar,MR,2021-10-03 15:58:30,20.5169,-13.0499,106.11,4,14,10.07
211,Scottsbluff,US,2021-10-03 15:58:30,41.8666,-103.6672,67.78,31,0,7.47
212,Healesville,AU,2021-10-03 15:58:31,-37.65,145.5167,59.36,88,99,1.01
213,Whitehorse,CA,2021-10-03 15:58:31,60.7161,-135.0538,30.97,92,90,5.99
214,Chokurdakh,RU,2021-10-03 15:58:11,70.6333,147.9167,23.25,96,100,9.91
215,Marsh Harbour,BS,2021-10-03 15:58:32,26.5412,-77.0636,80.96,60,3,12.71
216,East London,ZA,2021-10-03 15:58:32,-33.0153,27.9116,59.94,72,20,14.97
217,Kayes,ML,2021-10-03 15:58:33,14.0,-11.0,93.63,39,16,1.3
218,Baglan,AF,2021-10-03 15:58:33,36.1307,68.7083,61.48,31,0,3.85
219,Hamilton,US,2021-10-03 15:58:34,39.1834,-84.5333,72.55,92,75,1.01
220,Carnarvon,AU,2021-10-03 15:58:34,-24.8667,113.6333,64.47,77,0,17.27
221,Watertown,US,2021-10-03 15:57:27,42.3709,-71.1828,69.71,81,90,1.99
222,Roma,US,2021-10-03 15:54:03,43.2128,-75.4557,64.4,95,100,3.38
223,Astana,KZ,2021-10-03 15:58:35,51.1801,71.446,37.35,93,90,6.71
224,Ugoofaaru,MV,2021-10-03 15:58:35,5.6667,73.0,82.92,76,4,17.07
225,Gerash,IR,2021-10-03 15:58:35,27.6652,54.1371,91.54,29,53,5.37
226,San Nicolas,PH,2021-10-03 15:58:36,18.1725,120.5953,82.31,74,40,4.61
227,Maragogi,BR,2021-10-03 15:58:36,-9.0122,-35.2225,81.81,68,24,12.44
