City_ID,City,Country,Max Temp,Lat,Lng,Description,Hotel Name
632,Cockburn Town,TC,84.16,21.4612,-71.1419,broken clouds,Osprey Beach Hotel
634,Greenwood,US,78.55,34.1668,-82.1165,overcast clouds,Quality Inn Greenwood Hwy 25
635,Dubai,AE,89.53,25.2582,55.3047,clear sky,"Radisson Blu Hotel, Dubai Deira Creek"
652,Praia,CV,81.14,14.9215,-23.5087,few clouds,LT Aparthotel
653,Bandarbeyla,SO,78.87,9.4942,50.8122,scattered clouds,JABIR HOTEL
657,Wajir,KE,81.73,1.7471,40.0573,overcast clouds,Al-bustan Hotel And Restaurant.
661,Wyndham,US,85.21,37.6985,-77.6125,scattered clouds,Hilton Richmond Hotel & Spa/Short Pump
663,Bouna,CI,79.16,9.2667,-3.0,clear sky,Hotel Reserve
665,Sigli,ID,78.15,5.3848,95.9609,overcast clouds,Losmen Dua Mali
666,Carutapera,BR,83.46,-1.195,-46.02,broken clouds,Lidera
669,Nishihara,JP,82.45,26.1842,127.7558,few clouds,Minshuku Agaihama
674,San Cristobal,VE,82.58,7.7669,-72.225,overcast clouds,Posada Villaven C.A.
676,Savelugu,GH,83.26,9.6244,-0.8253,broken clouds,Yoo Naa's Palace
678,Minab,IR,83.7,27.1467,57.0801,overcast clouds,Bam campground
679,Abonnema,NG,78.4,4.7084,6.7931,broken clouds,Corper's Lodge Obonoma
682,San Esteban,HN,90.5,15.2,-85.75,broken clouds,TORO MUERTO
683,Las Vegas,US,89.55,36.175,-115.1372,clear sky,Plaza Hotel & Casino
684,Waingapu,ID,75.16,-9.6567,120.2641,scattered clouds,Pondok Wisata Elim
685,Senanga,ZM,78.75,-16.1167,23.2667,broken clouds,Zango lodge
