City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
163,Mtwara,TZ,-10.2667,40.1833,72.43,87,18,5.21,few clouds
164,Sitka,US,57.0531,-135.33,48.09,57,1,0.0,clear sky
165,Kununurra,AU,-15.7667,128.7333,75.18,88,1,5.75,clear sky
166,Grand-Santi,GF,4.25,-54.3833,80.6,71,84,2.17,broken clouds
167,Noumea,NC,-22.2763,166.4572,77.0,99,0,3.78,clear sky
168,Nhulunbuy,AU,-12.2333,136.7667,79.41,89,24,0.0,few clouds
169,Gogrial,SS,8.5332,28.1004,78.04,66,81,4.59,broken clouds
170,Guerrero Negro,MX,27.9769,-114.0611,77.52,63,1,18.25,clear sky
171,Skibbereen,IE,51.55,-9.2667,49.8,88,83,8.43,broken clouds
172,Kruisfontein,ZA,-34.0033,24.7314,57.88,93,0,5.64,clear sky
173,Carnarvon,AU,-24.8667,113.6333,59.07,67,35,19.57,scattered clouds
174,Mazagao,BR,-0.115,-51.2894,91.45,61,91,8.37,overcast clouds
175,Mar Del Plata,AR,-38.0023,-57.5575,69.82,53,0,13.0,clear sky
176,Dronten,NL,52.5,5.7167,54.12,81,30,18.01,scattered clouds
177,Jutai,BR,-5.1833,-68.9,76.01,96,100,2.84,overcast clouds
178,Bambous Virieux,MU,-20.3428,57.7575,70.21,94,20,5.75,light rain
179,Havoysund,NO,70.9963,24.6622,52.68,75,51,14.09,broken clouds
180,Coahuayana,MX,18.7333,-103.6833,86.81,73,95,4.88,overcast clouds
181,Oyonnax,FR,46.2592,5.6573,51.93,94,92,3.4,overcast clouds
182,Aden,YE,12.7794,45.0367,88.0,71,28,8.59,scattered clouds
183,Pevek,RU,69.7008,170.3133,27.97,93,100,18.95,light snow
184,Dikson,RU,73.5069,80.5464,36.3,96,99,18.07,overcast clouds
185,Nikolskoye,RU,59.7035,30.7861,50.88,74,91,11.32,overcast clouds
186,Uporovo,RU,56.3109,66.2693,29.37,88,79,3.76,broken clouds
187,Pisco,PE,-13.7,-76.2167,68.05,68,75,6.91,broken clouds
188,Egvekinot,RU,66.3167,-179.1667,29.73,92,100,11.27,overcast clouds
189,Parkersburg,US,39.2667,-81.5615,81.05,59,67,3.0,broken clouds
190,Georgetown,MY,5.4112,100.3354,78.73,89,40,1.01,scattered clouds
191,Odienne,CI,9.51,-7.5692,75.11,83,84,2.15,broken clouds
192,Sterling,US,39.0062,-77.4286,77.86,82,1,1.01,clear sky
193,Manitouwadge,CA,49.1215,-85.8403,62.38,56,6,3.74,clear sky
194,Naze,JP,28.3667,129.4833,77.92,70,57,16.15,broken clouds
195,Kanungu,UG,-0.9575,29.7897,60.94,93,86,2.53,overcast clouds
196,Ipixuna,BR,-1.7625,-48.8043,84.15,77,100,7.05,overcast clouds
197,Saint George,US,37.1041,-113.5841,78.53,72,90,40.29,light rain
198,Carballo,ES,43.213,-8.691,60.87,94,56,2.1,broken clouds
199,Yeppoon,AU,-23.1333,150.7333,65.98,44,0,11.01,clear sky
